drive,condition,replicate,stream_index,sample_index,current_raw_frame_index,future_raw_frame_index,current_frame_name,future_frame_name,phase,disturbance_index,current_blur_sigma,future_blur_sigma,forward_target_m,yaw_target_rad,forward_prediction_m,yaw_prediction_rad,forward_absolute_error_m,yaw_absolute_error_rad,prediction_error_l2,prediction_error_rms,prediction_error_l2_ema,prediction_error_cosine_previous,prediction_error_temporal_variance,temporal_variance_window_count
2011_09_26/2011_09_26_drive_0005_sync,clean,-1,0,0,0,1,0000000000.png,0000000001.png,baseline,,0.0,0.0,0.3620060980319977,0.015832999721169472,0.39153555035591125,0.010458956472575665,0.029529452323913574,0.005374043248593807,87.1494140625,0.27510689261859056,87.1494140625,,0.0,1
2011_09_26/2011_09_26_drive_0005_sync,clean,-1,1,1,1,2,0000000001.png,0000000002.png,baseline,,0.0,0.0,0.3591540455818176,0.01245300006121397,0.27663126587867737,0.009550229646265507,0.08252277970314026,0.0029027704149484634,102.43739318847656,0.32336686141570514,90.31402574157714,-0.10990451276302338,0.04995105788111687,2
2011_09_26/2011_09_26_drive_0005_sync,clean,-1,2,2,2,3,0000000002.png,0000000003.png,baseline,,0.0,0.0,0.35547780990600586,0.012445000000298023,0.25638508796691895,0.008428532630205154,0.09909272193908691,0.004016467370092869,91.60875701904297,0.28918379738842465,90.58203511601258,-0.12330249696969986,0.06430249661207199,3
2011_09_26/2011_09_26_drive_0005_sync,clean,-1,3,3,3,4,0000000003.png,0000000004.png,baseline,,0.0,0.0,0.3487367331981659,0.013957999646663666,0.26024138927459717,0.006404314190149307,0.08849534392356873,0.0075536854565143585,94.25305938720703,0.2975311431892587,91.34193714014984,-0.11180392652750015,0.0719248428940773,4
2011_09_26/2011_09_26_drive_0005_sync,clean,-1,4,4,4,5,0000000004.png,0000000005.png,baseline,,0.0,0.0,0.3434356153011322,0.012520999647676945,0.25028443336486816,0.004672796931117773,0.09315118193626404,0.007848203182220459,83.43180084228516,0.2633713882046556,89.70453892649185,-0.16605570912361145,0.07283341884613037,5
2011_09_26/2011_09_26_drive_0005_sync,clean,-1,5,5,5,6,0000000005.png,0000000006.png,baseline,,0.0,0.0,0.3404981791973114,0.01252800039947033,0.2662852704524994,0.002578676212579012,0.07421290874481201,0.009949324652552605,78.34158325195312,0.2473029447478169,87.35240710186234,-0.15512755513191223,0.07162822037935257,6
2011_09_26/2011_09_26_drive_0005_sync,clean,-1,6,6,6,7,0000000006.png,0000000007.png,baseline,,0.0,0.0,0.33621424436569214,0.013376000337302685,0.2513246536254883,0.003266426268965006,0.08488959074020386,0.010109573602676392,75.0931396484375,0.23704852497013648,84.8147387390034,-0.21802911162376404,0.07059121131896973,7
2011_09_26/2011_09_26_drive_0005_sync,clean,-1,7,7,7,8,0000000007.png,0000000008.png,baseline,,0.0,0.0,0.33295246958732605,0.01158900000154972,0.2593596577644348,0.004427969455718994,0.07359281182289124,0.007161030545830727,85.4034194946289,0.2695952629700445,84.93659565541788,-0.17778697609901428,0.07071372121572495,8
2011_09_26/2011_09_26_drive_0005_sync,clean,-1,8,8,8,9,0000000008.png,0000000009.png,baseline,,0.0,0.0,0.3300914168357849,0.011454000137746334,0.27852511405944824,0.0025370237417519093,0.05156630277633667,0.008916975930333138,89.62490844726562,0.2829213417694128,85.90707640333036,-0.2805962562561035,0.07119147479534149,8
2011_09_26/2011_09_26_drive_0005_sync,clean,-1,9,9,9,10,0000000009.png,0000000010.png,baseline,,0.0,0.0,0.32816413044929504,0.012517999857664108,0.30175960063934326,0.0018783705309033394,0.026404529809951782,0.010639629326760769,84.6616439819336,0.26725366509335785,85.64927189210124,-0.24913887679576874,0.06799120455980301,8
2011_09_26/2011_09_26_drive_0005_sync,clean,-1,10,10,10,11,0000000010.png,0000000011.png,baseline,,0.0,0.0,0.3271610140800476,0.01192300021648407,0.30023807287216187,0.0013968553394079208,0.026922941207885742,0.010526144877076149,89.69368743896484,0.2831384387626847,86.486465910302,-0.17265774309635162,0.06773161888122559,8
2011_09_26/2011_09_26_drive_0005_sync,clean,-1,11,11,11,12,0000000011.png,0000000012.png,baseline,,0.0,0.0,0.325839102268219,0.011191999539732933,0.30109113454818726,-0.0003142517525702715,0.02474796772003174,0.011506251059472561,82.7519302368164,0.2612252065538555,85.71341702589048,-0.3526065945625305,0.06560254096984863,8
2011_09_26/2011_09_26_drive_0005_sync,clean,-1,12,12,12,13,0000000012.png,0000000013.png,baseline,,0.0,0.0,0.32374656200408936,0.012370999902486801,0.31677666306495667,-0.0009315904462710023,0.00696989893913269,0.013302590698003769,86.64775085449219,0.2735232763628515,85.90682412841105,-0.21742621064186096,0.0658465176820755,8
2011_09_26/2011_09_26_drive_0005_sync,clean,-1,13,13,13,14,0000000013.png,0000000014.png,baseline,,0.0,0.0,0.32072436809539795,0.011842000298202038,0.332967609167099,-0.0018247582484036684,0.01224324107170105,0.013666758313775063,86.06426239013672,0.2716813642064782,85.93941384858826,-0.05619611218571663,0.06694311648607254,8
2011_09_26/2011_09_26_drive_0005_sync,clean,-1,14,14,14,15,0000000014.png,0000000015.png,baseline,,0.0,0.0,0.31862056255340576,0.01170399971306324,0.33738622069358826,-0.0020892845932394266,0.018765658140182495,0.013793284073472023,94.0818862915039,0.2969907986519273,87.6249056442718,-0.20341229438781738,0.07137516140937805,8
2011_09_26/2011_09_26_drive_0005_sync,clean,-1,15,15,15,16,0000000015.png,0000000016.png,baseline,,0.0,0.0,0.31820255517959595,0.011768000200390816,0.34325894713401794,-0.0008609986980445683,0.025056391954421997,0.01262899860739708,93.34261322021484,0.2946571273361805,88.80847111249201,-0.3413434326648712,0.07236067205667496,8
