sequence_id,frame_id,frame_index,valid_warp_ratio_z1,valid_warp_ratio_z4,error_z1,dynamic_error_z1,correction_z1,state_z1,error_z4,dynamic_error_z4,correction_z4,state_z4
0002,000002,2,0.9997605681419373,0.9995908737182617,0.015499196946620941,0.0032083336263895035,0.006625510286539793,0.3406069278717041,0.006140532437711954,0.0012710902374237776,0.0037852877285331488,0.20762155950069427
0002,000003,3,0.999726414680481,0.9994544386863708,0.015653735026717186,0.004464695230126381,0.006851662881672382,0.34105950593948364,0.006473695393651724,0.0018534959526732564,0.0039037526585161686,0.20817849040031433
0002,000004,4,1.0,1.0,0.015775257721543312,0.005380452144891024,0.007289854809641838,0.3414420485496521,0.006866744253784418,0.002328030066564679,0.004156726878136396,0.2086808681488037
0002,000005,5,1.0,1.0,0.01601455919444561,0.0061109778471291065,0.007858860306441784,0.34172433614730835,0.006613196339458227,0.002598339458927512,0.0041364156641066074,0.20928511023521423
0002,000006,6,0.9998632073402405,0.9997272491455078,0.01595894806087017,0.006642065942287445,0.008217834867537022,0.34188681840896606,0.006594635080546141,0.002699838485568762,0.004369737580418587,0.20979931950569153
0002,000007,7,0.9994869232177734,0.9990453124046326,0.015872299671173096,0.006938434671610594,0.008345900103449821,0.3419816792011261,0.006587285082787275,0.002922540996223688,0.0045821997337043285,0.2108794003725052
0002,000008,8,0.9996922016143799,0.9993180632591248,0.015663549304008484,0.006973946467041969,0.008511915802955627,0.3419227600097656,0.0067842924036085606,0.003167682560160756,0.004906029440462589,0.2113119661808014
0002,000009,9,0.9974687695503235,0.9961811304092407,0.015644993633031845,0.007094777189195156,0.00863613747060299,0.3419575095176697,0.0070967101491987705,0.0034207110293209553,0.005106774624437094,0.21125416457653046
0002,000010,10,1.0,1.0,0.0158083438873291,0.007351703010499477,0.009211205877363682,0.341977596282959,0.009064240381121635,0.0039627403020858765,0.006570874247699976,0.21032755076885223
0002,000011,11,0.9996579885482788,0.9993180632591248,0.01631418988108635,0.007526895496994257,0.009720180183649063,0.34205618500709534,0.009823796339333057,0.004491020459681749,0.0071335285902023315,0.20919787883758545
0002,000012,12,1.0,1.0,0.016453688964247704,0.007771259639412165,0.009701593779027462,0.342170387506485,0.008331588469445705,0.004237249027937651,0.006063839886337519,0.2101496309041977
0002,000013,13,1.0,1.0,0.0167721975594759,0.008034280501306057,0.009874649345874786,0.34225618839263916,0.007874943315982819,0.004168172832578421,0.005661725532263517,0.21019555628299713
0002,000014,14,1.0,1.0,0.016882741823792458,0.008185070939362049,0.009759005159139633,0.34233197569847107,0.0076310294680297375,0.004019638989120722,0.005295952316373587,0.21032248437404633
0002,000015,15,0.9954163432121277,0.9950900077819824,0.017021214589476585,0.008225683122873306,0.009900745935738087,0.3424486517906189,0.008329907432198524,0.004138261079788208,0.005748046096414328,0.20985645055770874
0002,000016,16,1.0,1.0,0.01699184440076351,0.008364515379071236,0.010125359520316124,0.34254151582717896,0.007837612181901932,0.004205042961984873,0.005568872205913067,0.20968246459960938
0002,000017,17,1.0,1.0,0.016914676874876022,0.008400171995162964,0.010036368854343891,0.3425191044807434,0.009217965416610241,0.004427233245223761,0.006501358468085527,0.20857864618301392
0002,000018,18,1.0,1.0,0.01700553484261036,0.008470018394291401,0.00994464848190546,0.3425869047641754,0.00868130661547184,0.004562036134302616,0.0060651423409581184,0.2077423334121704
0002,000019,19,1.0,1.0,0.01684870943427086,0.008519217371940613,0.009524497203528881,0.3425072729587555,0.007594741880893707,0.004409151151776314,0.005367111414670944,0.20766186714172363
0002,000020,20,0.9993501305580139,0.9991816878318787,0.016893841326236725,0.00856745708733797,0.009656071662902832,0.3425174355506897,0.007822958752512932,0.004425654653459787,0.0054362197406589985,0.20708049833774567
0002,000021,21,1.0,1.0,0.016676610335707664,0.008603118360042572,0.009559687227010727,0.34246018528938293,0.007109358441084623,0.00425970833748579,0.004936021752655506,0.2070767730474472
0002,000022,22,0.9999316334724426,0.9998636245727539,0.016713229939341545,0.008639943785965443,0.009552741423249245,0.3424633741378784,0.0072557651437819,0.004079489968717098,0.004953257739543915,0.20735794305801392
0002,000023,23,0.9997947812080383,0.9995908737182617,0.016621345654129982,0.008681774139404297,0.009365299716591835,0.3424810767173767,0.007310804445296526,0.004128950648009777,0.004865284543484449,0.20703233778476715
0002,000024,24,1.0,1.0,0.01647287607192993,0.008525045588612556,0.00916612520813942,0.3423093259334564,0.007424843031913042,0.004175645299255848,0.004953065887093544,0.20666532218456268
